CIP13;Designation;Product;ATC2_code;ATC2;ATC3_code;ATC3;ATC5_code;ATC5
3400921656794;Doxazosine substipharm lp 8mg cpr 28;Doxazosine substipharm lp;C02;Antihypertenseurs;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;C02CA04;Doxazosine
3400921658286;Clarelux 500mcg/g mouss fl 1;Clarelux;D07;Corticoides, preparations dermatologiques;D07A;Corticoides a usage topique non associes;D07AD01;Clobetasol
3400921661477;Elfasette myl 75mcg cpr 28;Elfasette myl;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03A5;Progestatifs oraux non associes;G03AC09;Desogestrel
3400921661538;Elfasette myl 75mcg cpr 84;Elfasette myl;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03A5;Progestatifs oraux non associes;G03AC09;Desogestrel
3400921662078;Amorolfine rbx 5% vernis med 20sp 1;Amorolfine rbx;D01;Antifongiques a usage dermatologique;D01A1;Antifongiques topiques a usage dermatologique;D01AE16;Amorolfine
3400921663020;Amorolfine crt 5% vernis med 20sp 1;Amorolfine crt;D01;Antifongiques a usage dermatologique;D01A1;Antifongiques topiques a usage dermatologique;D01AE16;Amorolfine
3400921672763;Glimepiride ahl 2mg cpr 90;Glimepiride ahl;A10;Medicaments du diabete;A10H;Antidiabetiques sulfamides;A10BB12;Glimepiride
3400921673074;Allopurinol ztv 100mg cpr 28;Allopurinol ztv;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921675894;Allopurinol ztv 200mg cpr 28;Allopurinol ztv;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921676266;Allopurinol ztv 300mg cpr 28;Allopurinol ztv;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921676327;Enbrel 10 mg pdr et sol inj pediat 4;Enbrel;L04;Immunosuppresseurs;L04B;Medicaments anti-tnf;L04AB01;Etanercept
3400921677447;Allopurinol crt 100mg cpr 28;Allopurinol crt;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921678918;Allopurinol crt 200 mg cpr 28;Allopurinol crt;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921680058;Allopurinol crt 300 mg cpr 28;Allopurinol crt;M04;Antigoutteux;M04A;Antigoutteux;M04AA01;Allopurinol
3400921686951;Atenolol zen 50mg cpr 30;Atenolol zen;C07;Betabloquants;C07A;Betabloquants non associes;C07AB03;Atenolol
3400921687262;Atenolol zen 50mg cpr 90;Atenolol zen;C07;Betabloquants;C07A;Betabloquants non associes;C07AB03;Atenolol
3400921687491;Alfuzosine crt lp 10mg cpr 30;Alfuzosine crt lp;G04;Medicaments urologiques;G04C2;Antagonistes alpha-adrenergiques contre l'hbp non associes;G04CA01;Alfuzosine
3400921687552;Tasigna 200mg gelule 28;Tasigna;L01;Antineoplasiques;L01X9;Autres antineoplasiques;L01XE08;Nilotinib
3400921687613;Tasigna 200mg gelule 112;Tasigna;L01;Antineoplasiques;L01X9;Autres antineoplasiques;L01XE08;Nilotinib
3400921687781;Omnitrope 15 mg sol inj 1;Omnitrope;H01;Hormones hypophysaires, hypothalamiques et analogues;H04C;Hormones de croissance;H01AC01;Somatropine
3400921687842;Omnitrope 15 mg sol inj 5;Omnitrope;H01;Hormones hypophysaires, hypothalamiques et analogues;H04C;Hormones de croissance;H01AC01;Somatropine
3400921687903;Omnitrope 15 mg sol inj 10;Omnitrope;H01;Hormones hypophysaires, hypothalamiques et analogues;H04C;Hormones de croissance;H01AC01;Somatropine
3400921689914;Ebastine tvc 10mg cpr orodisp 30;Ebastine tvc;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX22;Ebastine
3400921691924;Rizatriptan eg 5mg cpr 12;Rizatriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC04;Rizatriptan
3400921692525;Rizatriptan eg 10mg cpr 12;Rizatriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC04;Rizatriptan
3400921693065;Rizatriptan eg 10mg cpr orodisp 6;Rizatriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC04;Rizatriptan
3400921693126;Rizatriptan eg 10mg cpr orodisp 12;Rizatriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC04;Rizatriptan
3400921694994;Atenolol zen 100mg cpr 30;Atenolol zen;C07;Betabloquants;C07A;Betabloquants non associes;C07AB03;Atenolol
3400921695137;Atenolol zen 100mg cpr 90;Atenolol zen;C07;Betabloquants;C07A;Betabloquants non associes;C07AB03;Atenolol
3400921702903;Menveo pdr et sol inj 1;Menveo pdr et sol inj;J07;Vaccins;J07A8;Vaccins antimeningococciques, tous types;J07AH08;Meningocoques, antigenes polysaccharidiques tretravalents purifies conjugues
3400921709476;Ovitrelle 0,25 mg inj sty 0,5ml 1;Ovitrelle;G03;Hormones sexuelles et modulateurs de la fonction genitale;G03G;Gonadotrophines ou autres stimulants de l'ovulation;G03GA08;Choriogonadotropine alfa
3400921717631;Risedronate arw 35mg cpr 4;Risedronate arw;M05;Medicaments pour le traitement des desordres osseux;M05B3;Diphosphonates pour l'osteoporose et les troubles associes;M05BA07;Risedronique acide
3400921717921;Risedronate arw 35mg cpr 12;Risedronate arw;M05;Medicaments pour le traitement des desordres osseux;M05B3;Diphosphonates pour l'osteoporose et les troubles associes;M05BA07;Risedronique acide
3400921718812;Candesartan arw 4mg cpr 30;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921719123;Candesartan arw 4mg cpr 90;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921719642;Candesartan arw 8mg cpr 30;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921719932;Candesartan arw 8mg cpr 90;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921720471;Candesartan arw 16mg cpr 30;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921720822;Candesartan arw 16mg cpr 90;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921721362;Candesartan arw 32mg cpr 30;Candesartan arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921722314;Latanoprost bga 0,005% collyre 1;Latanoprost bga;S01;Medicaments ophtalmologiques;S01E2;Myotiques et antiglaucomateux a usage topique;S01EE01;Latanoprost
3400921723953;Candesartan/hctz act 8/12,5 mg cpr 30;Candesartan/hctz act;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921724325;Candesartan/hctz act 8/12,5 mg cpr 90;Candesartan/hctz act;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921724783;Candesartan/hctz act 16/12,5 mg cpr 30;Candesartan/hctz act;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921725094;Candesartan/hctz act 16/12,5 mg cpr 90;Candesartan/hctz act;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921725384;Xgeva 120 mg sol inj 1;Xgeva;M05;Medicaments pour le traitement des desordres osseux;M05B9;Autres regulateurs du calcium osseux;M05BX04;Denosumab
3400921728118;Candesartan/hydrochlorothiazide arrow 8 mg/12,5 mg;Candesartan/hydrochlorothiazide arrow;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921728408;Candesartan/hydrochlorothiazide arrow 8 mg/12,5 mg;Candesartan/hydrochlorothiazide arrow;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921729177;Candesartan/hydrochlorothiazide arrow 16 mg/12,5 m;Candesartan/hydrochlorothiazide arrow;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921729696;Candesartan/hydrochlorothiazide arrow 16 mg/12,5 m;Candesartan/hydrochlorothiazide arrow;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA06;Candesartan et diuretiques
3400921738681;Candesartan bga 32mg cpr 30;Candesartan bga;C09;Medicaments agissant sur le systeme renine-angiotensine;C09C;Antagonistes de l'angiotensine ii non associes;C09CA06;Candesartan
3400921740233;Atorvastatine bgr 10 mg cpr 30;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921740813;Atorvastatine bgr 10 mg cpr 90;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921741292;Atorvastatine bgr 20 mg cpr 30;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921741704;Atorvastatine bgr 20 mg cpr 90;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921742183;Atorvastatine bgr 40 mg cpr 30;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921742763;Atorvastatine bgr 40 mg cpr 90;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921743364;Atorvastatine bgr 80 mg cpr 30;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921743883;Atorvastatine bgr 80 mg cpr 90;Atorvastatine bgr;C10;Agents modifiant les lipides;C10A1;Statines (inhibiteurs de la hmg-coa reductase);C10AA05;Atorvastatine
3400921748857;Desloratadine zen 5mg cpr 15;Desloratadine zen;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921749229;Desloratadine zen 5mg cpr 30;Desloratadine zen;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921749397;Anapen 500 mcg sol inj ser 1 ml 1;Anapen;C01;Medicaments en cardiologie;C01C1;Stimulants cardiaques, medicaments dopaminergiques exclus;C01CA24;Epinephrine
3400921751987;Eurartesim 320mg/40mg cpr 12;Eurartesim;P01;Antiprotozoaires;P01D2;Antipaludeens, plusieurs substances actives;P01BF05;Artenimol et piperaquine
3400921752649;Zometa 4 mg  perf fl 1;Zometa;M05;Medicaments pour le traitement des desordres osseux;M05B4;Diphosphonates pour les troubles du calcium tumeur dependants;M05BA08;Zoledronique acide
3400921753820;Desloratadine tvs 5 mg cpr 15;Desloratadine tvs;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921754131;Desloratadine tvs 5 mg cpr 30;Desloratadine tvs;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921756203;Desloratadine gnr 5mg cpr 15;Desloratadine gnr;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921756661;Desloratadine gnr 5mg cpr 0;Desloratadine gnr;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921758733;Clopidogrel rbx 75mg cpr 30;Clopidogrel rbx;B01;Antithrombotiques;B01C2;Anti-agregants plaquettaires antagonistes des recepteurs adp;B01AC04;Clopidogrel
3400921760453;Desloratadine gnr 0,5mg/ml buv 150ml 1;Desloratadine gnr;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921761405;Desloratadine eg 0,5mg/ml buv 150ml 1;Desloratadine eg;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921762693;Desloratadine zen 0,5mg/ml buv 150ml 1;Desloratadine zen;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921763645;Desloratadine arw 0,5mg/ml buv 150ml 1;Desloratadine arw;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AX27;Desloratadine
3400921763706;Risedronate sdz 75mg cpr 2;Risedronate sdz;M05;Medicaments pour le traitement des desordres osseux;M05B3;Diphosphonates pour l'osteoporose et les troubles associes;M05BA07;Risedronique acide
3400921763935;Risedronate sdz 75mg cpr 6;Risedronate sdz;M05;Medicaments pour le traitement des desordres osseux;M05B3;Diphosphonates pour l'osteoporose et les troubles associes;M05BA07;Risedronique acide
3400921764246;Oxomemazine ztl 0,33mg/ml sol buv 1;Oxomemazine ztl;R06;Antihistaminiques a usage systemique;R06A;Antihistaminique systemique;R06AD08;Oxomemazine
3400921765717;Benazepril arw 5mg cpr 30;Benazepril arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921766196;Benazepril arw 5mg cpr 90;Benazepril arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921766608;Benazepril arrow 5 mg 1 boite de 30, comprimes pel;Benazepril arrow;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921767728;Benazepril arw 10mg cpr 30;Benazepril arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921768268;Benazepril arw 10mg cpr 90;Benazepril arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921769159;Benazepril arw 10mg cpr 90;Benazepril arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09A;Inhibiteurs de l'enzyme de conversion non associes;C09AA07;Benazepril
3400921769678;Benazepril hctz arw 10/12,5mg cpr 30;Benazepril hctz arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B1;Associations iec et antihypertenseurs (c2) et,ou diuretiques (c3);C09BA07;Benazepril et diuretiques
3400921770278;Benazepril hctz arw 10/12,5mg cpr 90;Benazepril hctz arw;C09;Medicaments agissant sur le systeme renine-angiotensine;C09B1;Associations iec et antihypertenseurs (c2) et,ou diuretiques (c3);C09BA07;Benazepril et diuretiques
3400921776133;Levofloxacine arl 500mg cpr 5;Levofloxacine arl;J01;Antibacteriens a usage systemique;J01G1;Fluoroquinolones orales;J01MA12;Levofloxacine
3400921777024;Riluzole sdz 50mg cpr 56;Riluzole sdz;N07;Autres medicaments du systeme nerveux;N07X;Autres medicaments du snc;N07XX02;Riluzole
3400921782165;Irbesartan hctz myp 150/12,5mg cpr 30;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921782455;Irbesartan hctz myp 150/12,5mg cpr 90;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921782745;Irbesartan hctz myp 300/12,5mg cpr 30;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921783056;Irbesartan hctz myp 300/12,5mg cpr 90;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921783285;Irbesartan hctz myp 300/25mg cpr 30;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921783575;Irbesartan hctz myp 300/25mg cpr 90;Irbesartan hctz myp;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921783926;Irbesartan hctz crt 150/12,5mg cpr 30;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921784237;Irbesartan hctz crt 150/12,5mg cpr 90;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921784695;Irbesartan hctz crt 300/12,5mg cpr 30;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921784985;Irbesartan hctz crt 300/12,5mg cpr 90;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921785296;Irbesartan hctz crt 300/25mg cpr 30;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921785586;Irbesartan hctz crt 300/25mg cpr 90;Irbesartan hctz crt;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA04;Irbesartan et diuretiques
3400921787139;Ropinirole zydus 0,25 mg 1 boite de 21, comprimes;Ropinirole zydus;N04;Antiparkinsoniens;N04A;Antiparkinsonien;N04BC04;Ropinirole
3400921787719;Smofkabiven e emuls inj poc 493ml 6;Smofkabiven e emuls inj poc;B05;Substituts du sang et solutions de perfusion;K01D2;Emulsions lipidiques en association;B05BA10;Associations
3400921789089;Montelukast alt 10mg cpr 28;Montelukast alt;R03;Medicaments pour les syndromes obstructifs des voies aeriennes;R03J2;Antiasthmatiques antagonistes des leucotrienes, systemiques;R03DC03;Montelukast
3400921790030;Zolmitriptan eg 2,5mg cpr 6;Zolmitriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC03;Zolmitriptan
3400921790269;Zolmitriptan eg 2,5mg cpr 12;Zolmitriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC03;Zolmitriptan
3400921790559;Lansoprazole bgr 30 mg 1 boite de 28, gelules gast;Lansoprazole bgr;A02;Medicaments pour les troubles de l'acidite;A02B2;Inhibiteurs de la pompe a protons;A02BC03;Lansoprazole
3400921790788;Zolmitriptan eg 2,5mg cpr orodisp 6;Zolmitriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC03;Zolmitriptan
3400921790900;Zolmitriptan eg 2,5mg cpr orodisp 12;Zolmitriptan eg;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC03;Zolmitriptan
3400921792102;Exemestane zen 25mg cpr 30;Exemestane zen;L02;Therapeutique endocrine;L02B3;Inhibiteurs de l'aromatase cytostatiques;L02BG06;Exemestane
3400921795004;Montelukast arw 10mg cpr 28;Montelukast arw;R03;Medicaments pour les syndromes obstructifs des voies aeriennes;R03J2;Antiasthmatiques antagonistes des leucotrienes, systemiques;R03DC03;Montelukast
3400921796063;Nicotinell fru exo 2mg gom 96;Nicotinell fru exo;N07;Autres medicaments du systeme nerveux;N07B;Medicaments pour l'arret du tabac;N07BA01;Nicotine
3400921796124;Nicotinell fru exo 2mg gom 204;Nicotinell fru exo;N07;Autres medicaments du systeme nerveux;N07B;Medicaments pour l'arret du tabac;N07BA01;Nicotine
3400921804201;Pylera 140/125/125 mg gelule 120;Pylera;A02;Medicaments pour les troubles de l'acidite;A02B9;Autres antiulcereux;A02BD08;Bismuth subcitrate, tetracycline et metronidazole
3400921809633;Dorzolamide timolol zen collyre 5ml 1;Dorzolamide timolol zen collyre;S01;Medicaments ophtalmologiques;S01E2;Myotiques et antiglaucomateux a usage topique;S01ED51;Timolol en association
3400921810813;Losartan hctz krk 100/12,5mg cpr 30;Losartan hctz krk;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA01;Losartan et diuretiques
3400921811353;Losartan hctz krk 100/12,5mg cpr 90;Losartan hctz krk;C09;Medicaments agissant sur le systeme renine-angiotensine;C09D1;Antagonistes angiotensine ii en assoc. avec antihypertens et/ou diuret;C09DA01;Losartan et diuretiques
3400921811704;Azithromycine tvc 250mg cpr 6;Azithromycine tvc;J01;Antibacteriens a usage systemique;J01F;Macrolides et apparentes;J01FA10;Azithromycine
3400921815085;Naratriptan zen 2,5mg cpr 6;Naratriptan zen;N02;Analgesiques;N02C1;Triptans antimigraineux;N02CC02;Naratriptan
